S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
184,Mahindra KUV100 K8,Delhi,2013,79532,Diesel,Manual,First,20.71 kmpl,1698 CC,158.37 bhp,7.0,43.48 Lakh,24.04
185,Toyota Etios VX,Mumbai,2017,62392,Petrol,Automatic,First,21.32 kmpl,1893 CC,205.71 bhp,7.0,61.82 Lakh,48.33
186,Mahindra TUV300 T8,Bangalore,2004,173521,Diesel,Manual,First,20.78 kmpl,1844 CC,179.42 bhp,5.0,,10.88
187,Tata Nexon XZ,Ahmedabad,2015,36208,Petrol,Manual,Second,28.11 kmpl,892 CC,77.03 bhp,5.0,22.85 Lakh,12.14
188,Honda WR-V VX,Jaipur,2015,75887,Diesel,Manual,Second,21.81 kmpl,1580 CC,152.45 bhp,5.0,,21.94
189,Maruti Swift VDI,Ahmedabad,2002,105157,Petrol,Automatic,Second,24.39 kmpl,1408 CC,128.52 bhp,7.0,35.72 Lakh,5.82
190,Honda City i-VTEC VX,Mumbai,2011,127595,Diesel,Automatic,First,24.36 kmpl,1369 CC,134.87 bhp,7.0,38.4 Lakh,15.99
191,Honda BR-V VX i-DTEC,Jaipur,2000,202877,Diesel,Manual,First,20.4 kmpl,1722 CC,162.8 bhp,7.0,45.01 Lakh,5.72
192,Renault Duster RXZ,Ahmedabad,2015,54606,Petrol,Manual,Second,28.03 kmpl,1033 CC,82.78 bhp,7.0,,12.29
193,Renault Triber RXZ,Delhi,2002,107853,CNG,Manual,First,26.55 km/kg,807 CC,70.24 bhp,5.0,22.11 Lakh,4.0
194,Skoda Superb Ambition,Mumbai,2017,20270,Diesel,Manual,Second,20.6 kmpl,2022 CC,157.7 bhp,7.0,59.52 Lakh,41.21
195,Volkswagen Jetta Highline,Jaipur,2003,220387,Diesel,Automatic,First,23.18 kmpl,1745 CC,143.23 bhp,7.0,50.83 Lakh,9.22
196,Toyota Etios VX,Hyderabad,2004,331914,Diesel,Automatic,First,21.54 kmpl,1699 CC,152.0 bhp,7.0,,9.33
197,Maruti Celerio VXI,Bangalore,2007,141353,Petrol,Manual,First,27.82 kmpl,810 CC,58.82 bhp,4.0,19.75 Lakh,5.53
198,Maruti Swift VDI,Pune,2002,221471,Petrol,Manual,First,26.04 kmpl,1142 CC,74.03 bhp,4.0,28.66 Lakh,4.83
199,Isuzu MU-X,Delhi,1999,237496,Diesel,Automatic,First,16.41 kmpl,2431 CC,193.13 bhp,5.0,66.29 Lakh,7.69
200,Mini Cooper S,Kochi,2011,87610,Diesel,Automatic,First,9.17 kmpl,3197 CC,306.47 bhp,5.0,,49.38
201,Skoda Rapid Ambition,Kochi,1999,149585,Diesel,Automatic,Second,18.99 kmpl,2094 CC,164.46 bhp,7.0,60.01 Lakh,7.64
202,Maruti Ignis Delta,Chennai,2012,20166,Diesel,Manual,First,26.56 kmpl,1320 CC,102.71 bhp,4.0,,17.34
203,Hyundai Verna SX,Jaipur,2018,17759,Petrol,Manual,First,18.4 kmpl,1922 CC,196.4 bhp,7.0,,42.63
204,Honda Civic VX,Coimbatore,2001,283064,Diesel,Manual,Third,19.34 kmpl,1941 CC,193.46 bhp,5.0,52.65 Lakh,5.94
205,Honda WR-V VX,Delhi,2000,217914,Petrol,Manual,First,24.42 kmpl,1244 CC,124.61 bhp,7.0,35.8 Lakh,5.07
206,Mahindra KUV100 K8,Kolkata,2000,193319,Diesel,Automatic,First,23.47 kmpl,1352 CC,104.42 bhp,5.0,,5.32
207,Honda BR-V VX i-DTEC,Coimbatore,2017,43466,Petrol,Automatic,Third,25.42 kmpl,1182 CC,95.12 bhp,5.0,34.19 Lakh,21.13
208,Honda Jazz VX,Pune,2006,285082,Petrol,Automatic,First,22.94 kmpl,1435 CC,121.84 bhp,5.0,,7.78
209,Volkswagen Vento Highline,Bangalore,2006,161524,Diesel,Automatic,Third,23.37 kmpl,1960 CC,200.73 bhp,5.0,,14.05
210,Chevrolet Cruze LTZ,Kochi,2017,35303,Petrol,Manual,First,28.12 kmpl,1360 CC,101.93 bhp,5.0,30.75 Lakh,20.6
211,Renault Kwid RXT,Mumbai,2007,187557,Diesel,Manual,Second,25.56 kmpl,1434 CC,109.34 bhp,4.0,,6.61
212,Skoda Octavia Ambition,Delhi,2016,45374,Diesel,Automatic,Second,18.62 kmpl,1890 CC,213.71 bhp,7.0,,35.42
213,Mahindra Thar CRDe,Kochi,2003,225374,Petrol,Automatic,Second,22.64 kmpl,1676 CC,154.13 bhp,5.0,42.35 Lakh,6.73
214,Honda Jazz VX,Kolkata,2011,162145,Petrol,Automatic,First,20.97 kmpl,1997 CC,139.44 bhp,7.0,,16.36
215,Tata Tiago XZ,Chennai,2000,273121,Petrol,Automatic,First,32.35 kmpl,826 CC,81.87 bhp,5.0,21.46 Lakh,2.8
216,Honda WR-V VX,Pune,2008,129720,Diesel,Automatic,Second,22.93 kmpl,1233 CC,86.9 bhp,7.0,,8.33
217,Toyota Glanza G,Mumbai,1999,274347,Diesel,Automatic,Third,21.37 kmpl,1642 CC,170.29 bhp,7.0,,4.72
218,Ford Figo Titanium,Ahmedabad,2012,214553,Diesel,Manual,Second,22.57 kmpl,1764 CC,117.47 bhp,7.0,38.93 Lakh,12.24
219,Maruti Baleno Delta,Ahmedabad,1999,481873,Petrol,Manual,First,29.24 kmpl,814 CC,74.79 bhp,5.0,22.46 Lakh,2.27
220,Hyundai Elantra SX,Ahmedabad,2009,195078,Diesel,Automatic,First,24.26 kmpl,1177 CC,79.87 bhp,7.0,29.9 Lakh,10.3
221,Ford EcoSport Titanium,Kolkata,2001,251169,Petrol,Manual,First,21.28 kmpl,1830 CC,180.19 bhp,5.0,50.62 Lakh,6.73
222,Volkswagen Vento Highline,Jaipur,2001,412375,Petrol,Manual,First,19.05 kmpl,1948 CC,154.99 bhp,5.0,59.0 Lakh,8.71
223,Honda Civic VX,Pune,2000,268279,Diesel,Automatic,First,20.76 kmpl,1974 CC,167.65 bhp,5.0,45.63 Lakh,5.55
224,Honda Amaze S i-Dtec,Kochi,2002,137147,Petrol,Manual,First,24.33 kmpl,1157 CC,97.64 bhp,5.0,30.69 Lakh,5.79
225,Volkswagen Vento Highline,Kolkata,2013,89303,Diesel,Automatic,First,23.13 kmpl,1605 CC,146.95 bhp,7.0,,26.8
226,Volkswagen Polo Highline,Hyderabad,1998,293872,Diesel,Automatic,First,19.15 kmpl,1737 CC,200.36 bhp,5.0,,7.41
227,Honda Jazz VX,Hyderabad,2003,146631,Petrol,Automatic,First,21.72 kmpl,1940 CC,200.33 bhp,5.0,,11.23
228,Maruti Wagon R LXI CNG,Mumbai,2015,58961,Diesel,Automatic,First,27.73 kmpl,937 CC,80.26 bhp,5.0,23.18 Lakh,13.77
229,Maruti Ciaz ZXI,Mumbai,2003,260970,Petrol,Automatic,First,26.65 kmpl,1162 CC,92.94 bhp,7.0,25.92 Lakh,4.77
230,Chevrolet Beat LT,Kochi,2017,19602,Petrol,Manual,First,30.42 kmpl,936 CC,75.43 bhp,5.0,25.3 Lakh,17.91
231,Toyota Corolla Altis VL,Coimbatore,2010,55148,Diesel,Automatic,First,21.55 kmpl,1635 CC,160.55 bhp,5.0,,23.76
232,Mahindra TUV300 T8,Mumbai,2012,212597,Petrol,Automatic,Third,21.27 kmpl,1698 CC,130.86 bhp,7.0,44.17 Lakh,13.34
233,Hyundai Elantra SX,Hyderabad,2013,61391,Diesel,Automatic,First,26.95 kmpl,1199 CC,122.09 bhp,7.0,38.26 Lakh,22.49
234,Mercedes-Benz GLC 220d,Delhi,2007,151830,Petrol,Automatic,First,12.47 kmpl,2718 CC,187.38 bhp,5.0,102.79 Lakh,26.23
235,BMW X1 sDrive20d,Coimbatore,2016,27971,Diesel,Automatic,First,21.27 kmpl,1946 CC,232.38 bhp,5.0,101.64 Lakh,81.2
236,Honda BR-V VX i-DTEC,Mumbai,2001,125680,Petrol,Automatic,First,21.31 kmpl,1785 CC,118.35 bhp,5.0,39.69 Lakh,7.64
237,Toyota Etios VX,Ahmedabad,2016,25728,Petrol,Manual,Fourth & Above,17.78 kmpl,2282 CC,253.16 bhp,7.0,73.41 Lakh,37.46
238,Maruti Baleno Delta,Coimbatore,2014,64239,Petrol,Manual,Third,25.36 kmpl,1370 CC,110.38 bhp,5.0,32.53 Lakh,15.48
239,Jaguar XF 2.2 Litre,Pune,2018,27717,Diesel,Automatic,First,14.51 kmpl,2989 CC,301.09 bhp,5.0,116.8 Lakh,100.31
240,Maruti Ignis Delta,Bangalore,2009,168151,Diesel,Manual,First,26.64 kmpl,1089 CC,88.64 bhp,5.0,28.02 Lakh,9.03
241,Tata Zest XM,Hyderabad,2015,52431,CNG,Manual,Fourth & Above,26.75 km/kg,1188 CC,121.56 bhp,5.0,30.13 Lakh,13.63
242,Tata Hexa XT,Bangalore,2016,47123,Petrol,Manual,First,26.77 kmpl,1062 CC,84.47 bhp,4.0,,18.29
243,Chevrolet Spark LT,Kochi,2003,100989,Petrol,Automatic,First,22.01 kmpl,1419 CC,99.13 bhp,5.0,31.1 Lakh,6.17
244,BMW 5 Series 520d,Bangalore,2012,47742,Petrol,Automatic,First,15.85 kmpl,2711 CC,257.2 bhp,5.0,110.77 Lakh,50.65
245,Fiat Linea Emotion,Coimbatore,2015,72734,Diesel,Manual,Second,27.7 kmpl,894 CC,69.61 bhp,7.0,22.47 Lakh,11.2
246,Nissan Micra XV,Mumbai,1998,276719,Diesel,Automatic,Second,20.34 kmpl,1993 CC,173.8 bhp,7.0,,5.62
247,Maruti Baleno Delta,Chennai,1998,449082,CNG,Automatic,First,20.52 km/kg,911 CC,64.86 bhp,5.0,,2.51
248,Hyundai Elantra SX,Chennai,2003,187802,Diesel,Automatic,First,23.27 kmpl,1617 CC,125.77 bhp,5.0,42.98 Lakh,7.96
249,Mahindra KUV100 K8,Pune,2016,51339,Diesel,Automatic,First,24.09 kmpl,1270 CC,104.56 bhp,5.0,34.15 Lakh,20.96
250,Datsun GO T,Chennai,2003,145981,Petrol,Automatic,First,26.25 kmpl,1104 CC,102.6 bhp,7.0,27.51 Lakh,5.42
251,Hyundai Creta 1.6 CRDi SX Option,Ahmedabad,2004,198127,Petrol,Manual,First,20.96 kmpl,1891 CC,122.59 bhp,7.0,44.42 Lakh,8.3
252,Mahindra Bolero SLE,Chennai,2005,180889,Petrol,Automatic,First,28.31 kmpl,1133 CC,125.71 bhp,5.0,,7.59
253,Renault Kwid RXT,Mumbai,2001,177576,Petrol,Manual,First,24.93 kmpl,1466 CC,125.52 bhp,5.0,,5.76
254,Nissan Sunny XV,Hyderabad,2004,89332,Petrol,Automatic,First,24.15 kmpl,1479 CC,133.05 bhp,5.0,38.94 Lakh,9.31
255,Renault Captur RXE,Kolkata,2017,48268,Diesel,Automatic,Second,23.94 kmpl,1310 CC,128.41 bhp,5.0,34.8 Lakh,25.76
256,Mahindra KUV100 K8,Bangalore,2015,25910,Diesel,Automatic,Third,24.49 kmpl,1290 CC,122.13 bhp,7.0,,22.11
257,Chevrolet Spark LT,Delhi,2007,135314,CNG,Manual,First,21.95 km/kg,1085 CC,84.3 bhp,4.0,,6.96
258,Mahindra XUV500 W8,Delhi,2011,37068,Petrol,Automatic,First,23.92 kmpl,1236 CC,95.91 bhp,5.0,30.64 Lakh,14.25
259,Toyota Glanza G,Chennai,2012,132775,Diesel,Automatic,Second,18.45 kmpl,2292 CC,207.24 bhp,5.0,67.55 Lakh,24.33
260,Audi Q3 2.0 TDI,Ahmedabad,2007,194399,Diesel,Automatic,First,12.7 kmpl,2854 CC,215.25 bhp,4.0,104.61 Lakh,29.52
261,Volkswagen Jetta Highline,Jaipur,2015,56432,Petrol,Manual,First,22.51 kmpl,1678 CC,113.37 bhp,7.0,49.93 Lakh,32.37
262,Ford Freestyle Titanium,Pune,2017,34966,Petrol,Manual,First,25.64 kmpl,1230 CC,134.39 bhp,5.0,,29.53
263,Tata Safari Storme VX,Coimbatore,2003,133452,Diesel,Manual,First,25.55 kmpl,1087 CC,88.13 bhp,5.0,,6.1
264,Honda Jazz VX,Kolkata,2016,42503,Diesel,Manual,Second,23.27 kmpl,1673 CC,123.49 bhp,7.0,39.04 Lakh,22.73
265,Ford Aspire Titanium,Chennai,2002,224701,Diesel,Manual,First,24.94 kmpl,1125 CC,109.17 bhp,7.0,32.97 Lakh,5.04
266,Volkswagen Jetta Highline,Jaipur,2001,102352,Petrol,Automatic,First,21.16 kmpl,1706 CC,174.46 bhp,5.0,58.33 Lakh,11.45
267,Mahindra XUV500 W8,Coimbatore,2019,19600,Diesel,Automatic,First,26.01 kmpl,1228 CC,120.44 bhp,5.0,38.84 Lakh,34.05
268,Mahindra Thar CRDe,Pune,2010,158665,Diesel,Manual,First,23.31 kmpl,1555 CC,163.71 bhp,5.0,46.34 Lakh,16.06
269,BMW X1 sDrive20d,Coimbatore,2006,125632,Diesel,Automatic,First,18.75 kmpl,2531 CC,215.93 bhp,7.0,,29.68
270,Tata Safari Storme VX,Bangalore,2000,213169,Diesel,Manual,First,25.46 kmpl,1222 CC,88.52 bhp,4.0,,3.53
271,Hyundai Grand i10 Sportz,Bangalore,2002,85663,Diesel,Manual,First,18.65 kmpl,1888 CC,144.65 bhp,7.0,47.48 Lakh,8.31
272,Ford Figo Titanium,Ahmedabad,2000,321815,Petrol,Manual,Second,20.29 kmpl,1991 CC,148.78 bhp,7.0,,5.64
273,Hyundai i10 Magna,Ahmedabad,2009,117130,Petrol,Manual,First,22.03 kmpl,1544 CC,136.92 bhp,7.0,,13.59
274,Maruti Alto 800 LXI,Chennai,2000,185929,CNG,Manual,First,18.52 km/kg,1135 CC,78.36 bhp,5.0,,3.48
275,Renault Kwid RXT,Chennai,2005,192792,Petrol,Manual,First,28.39 kmpl,903 CC,66.62 bhp,5.0,20.89 Lakh,4.05
276,Ford Figo Titanium,Kochi,2012,76637,Diesel,Manual,First,25.31 kmpl,1474 CC,160.2 bhp,5.0,44.22 Lakh,20.14
277,Jaguar XF 2.2 Litre,Hyderabad,2009,209385,Diesel,Automatic,First,19.02 kmpl,2332 CC,242.41 bhp,5.0,105.39 Lakh,29.99
278,Mini Countryman Cooper D,Jaipur,2009,88303,Diesel,Automatic,Third,20.76 kmpl,2107 CC,199.94 bhp,5.0,,33.17
279,Mahindra KUV100 K8,Hyderabad,2015,46361,Petrol,Automatic,First,20.07 kmpl,1810 CC,143.82 bhp,5.0,42.15 Lakh,27.99
280,Mahindra Thar CRDe,Pune,2000,239350,Diesel,Manual,First,24.02 kmpl,1250 CC,107.05 bhp,5.0,35.04 Lakh,4.78
281,Volkswagen Vento Highline,Pune,1999,125120,Diesel,Automatic,First,25.14 kmpl,1719 CC,149.5 bhp,5.0,55.13 Lakh,7.99
282,Skoda Octavia Ambition,Kochi,2008,100960,Diesel,Automatic,Second,19.22 kmpl,1989 CC,174.82 bhp,5.0,59.43 Lakh,16.81
283,Ford Endeavour Titanium,Coimbatore,2017,24515,Diesel,Automatic,Second,24.76 kmpl,1446 CC,150.22 bhp,5.0,41.7 Lakh,32.15
284,Renault Triber RXZ,Kochi,1999,230966,Petrol,Manual,Second,23.92 kmpl,1330 CC,124.39 bhp,5.0,30.83 Lakh,3.47
285,Honda BR-V VX i-DTEC,Mumbai,1998,198610,Petrol,Manual,First,23.36 kmpl,1494 CC,132.11 bhp,5.0,,5.08
286,Hyundai Elantra SX,Jaipur,2012,62115,Diesel,Manual,First,17.87 kmpl,1990 CC,171.35 bhp,5.0,50.24 Lakh,22.17
287,Chevrolet Cruze LTZ,Pune,2010,221258,Diesel,Automatic,Second,27.53 kmpl,885 CC,83.28 bhp,5.0,,7.28
288,Maruti Ignis Delta,Jaipur,2003,89969,Diesel,Manual,First,26.62 kmpl,1450 CC,137.81 bhp,4.0,34.54 Lakh,6.6
289,Volkswagen Polo Highline,Mumbai,2014,51372,Petrol,Automatic,First,19.55 kmpl,2199 CC,180.8 bhp,7.0,,38.16
290,Maruti Swift VDI,Ahmedabad,2003,141798,Petrol,Manual,First,26.34 kmpl,1194 CC,101.24 bhp,5.0,28.14 Lakh,4.93
291,Renault Triber RXZ,Hyderabad,2015,28179,Petrol,Automatic,First,22.57 kmpl,1257 CC,121.79 bhp,5.0,32.75 Lakh,20.11
292,BMW 5 Series 520d,Mumbai,2019,11161,Petrol,Automatic,First,18.95 kmpl,1827 CC,126.87 bhp,4.0,,93.38
293,Mercedes-Benz GLC 220d,Hyderabad,2004,136694,Diesel,Automatic,Second,9.46 kmpl,3148 CC,328.38 bhp,5.0,125.12 Lakh,23.85
294,Maruti Ertiga VDI,Hyderabad,2018,20295,Petrol,Manual,First,24.09 kmpl,1346 CC,128.87 bhp,7.0,32.62 Lakh,27.02
295,Maruti Swift VDI,Chennai,1999,177841,Diesel,Manual,First,22.71 kmpl,1210 CC,104.23 bhp,4.0,31.4 Lakh,4.1
296,Maruti Swift Dzire VDI,Pune,2006,302187,Diesel,Manual,Second,29.69 kmpl,959 CC,89.22 bhp,5.0,28.75 Lakh,5.71
297,Mahindra Scorpio S10,Kochi,2016,59679,Petrol,Manual,First,27.5 kmpl,1152 CC,124.33 bhp,5.0,33.75 Lakh,19.57
298,Tata Nexon XZ,Bangalore,2012,58337,Petrol,Automatic,First,27.21 kmpl,808 CC,70.16 bhp,4.0,25.2 Lakh,13.58
299,Tata Nexon XZ,Hyderabad,2016,23296,Diesel,Manual,Second,22.53 kmpl,1282 CC,127.48 bhp,5.0,,21.71
300,Skoda Yeti Ambition,Ahmedabad,2019,8063,Diesel,Manual,First,21.28 kmpl,1536 CC,122.14 bhp,7.0,,46.63
301,Hyundai i10 Magna,Kolkata,2017,43909,Petrol,Manual,First,20.1 kmpl,1857 CC,186.19 bhp,5.0,51.07 Lakh,34.05
302,Nissan Micra XV,Jaipur,2003,92906,Petrol,Automatic,First,20.39 kmpl,1862 CC,186.78 bhp,7.0,48.5 Lakh,11.05
303,Mini Countryman Cooper D,Jaipur,2006,115061,Diesel,Manual,Second,19.74 kmpl,2056 CC,185.23 bhp,4.0,,22.3
304,Honda WR-V VX,Pune,2009,268988,Petrol,Manual,First,26.26 kmpl,1228 CC,85.17 bhp,7.0,33.87 Lakh,9.43
305,Ford Figo Titanium,Delhi,2016,50532,Petrol,Manual,First,22.14 kmpl,1890 CC,185.09 bhp,5.0,49.17 Lakh,32.87
306,Maruti Swift VDI,Bangalore,2010,148404,Petrol,Manual,First,26.5 kmpl,1269 CC,85.32 bhp,7.0,,10.99
307,Hyundai Elantra SX,Bangalore,2001,219946,CNG,Manual,Second,24.93 km/kg,908 CC,84.28 bhp,7.0,30.03 Lakh,3.81
308,Audi Q3 2.0 TDI,Ahmedabad,2007,179629,Petrol,Automatic,First,16.31 kmpl,2356 CC,171.68 bhp,5.0,97.24 Lakh,30.38
309,Maruti Celerio VXI,Mumbai,2003,271382,Petrol,Automatic,Second,26.88 kmpl,809 CC,70.4 bhp,5.0,20.33 Lakh,3.1
310,Hyundai Verna SX,Delhi,2000,194392,Diesel,Manual,First,24.71 kmpl,1306 CC,110.33 bhp,5.0,,4.82
311,Nissan Micra XV,Ahmedabad,2016,66333,Diesel,Automatic,First,22.45 kmpl,1595 CC,153.23 bhp,7.0,43.33 Lakh,26.34
312,Skoda Octavia Ambition,Bangalore,2013,79666,Petrol,Automatic,First,22.3 kmpl,1644 CC,152.9 bhp,5.0,,25.56
313,Skoda Octavia Ambition,Chennai,1998,288726,Diesel,Automatic,Second,22.34 kmpl,1524 CC,171.42 bhp,5.0,53.77 Lakh,4.91
314,Skoda Yeti Ambition,Delhi,2002,177953,Diesel,Automatic,First,16.93 kmpl,2203 CC,216.67 bhp,5.0,63.92 Lakh,10.43
315,Skoda Octavia Ambition,Kolkata,2015,68163,Diesel,Automatic,First,15.48 kmpl,2412 CC,236.28 bhp,5.0,70.62 Lakh,40.68
316,Hyundai i20 Sportz,Ahmedabad,2017,22709,Petrol,Automatic,Third,19.85 kmpl,1679 CC,160.11 bhp,5.0,,26.35
317,Fiat Linea Emotion,Pune,2017,49357,Petrol,Manual,First,28.28 kmpl,891 CC,78.05 bhp,5.0,22.47 Lakh,16.7
318,Land Rover Discovery Sport HSE,Pune,2011,111095,Petrol,Automatic,First,19.46 kmpl,2057 CC,170.81 bhp,5.0,,40.79
319,Hyundai Grand i10 Sportz,Ahmedabad,2002,62228,Diesel,Manual,First,20.06 kmpl,1995 CC,197.31 bhp,5.0,52.07 Lakh,11.35
320,Maruti Vitara Brezza VDI,Pune,2012,171166,Petrol,Manual,First,29.75 kmpl,999 CC,101.11 bhp,5.0,28.44 Lakh,12.44
321,Toyota Yaris VX,Hyderabad,2017,22089,Diesel,Manual,First,18.65 kmpl,2160 CC,149.43 bhp,5.0,55.14 Lakh,45.49
322,Maruti Baleno Delta,Delhi,2005,182756,CNG,Manual,First,23.4 km/kg,1090 CC,105.19 bhp,5.0,30.24 Lakh,6.69
323,Tata Tiago XZ,Bangalore,2015,63848,Petrol,Manual,First,26.83 kmpl,1005 CC,68.03 bhp,7.0,22.96 Lakh,12.81
324,Ford Endeavour Titanium,Bangalore,2007,179066,Diesel,Manual,First,22.06 kmpl,1476 CC,128.59 bhp,5.0,,10.48
325,Honda Jazz VX,Mumbai,2011,75815,Diesel,Manual,First,18.59 kmpl,1918 CC,186.35 bhp,7.0,48.06 Lakh,18.75
326,Hyundai Grand i10 Sportz,Delhi,2006,121854,Petrol,Automatic,Second,18.39 kmpl,1926 CC,141.68 bhp,5.0,44.66 Lakh,11.2
327,Mahindra XUV500 W8,Kochi,2019,12738,Diesel,Manual,Third,22.68 kmpl,1556 CC,128.32 bhp,7.0,,30.13
328,Volkswagen Vento Highline,Hyderabad,2012,38571,Petrol,Automatic,First,21.45 kmpl,2253 CC,207.25 bhp,5.0,68.18 Lakh,38.39
329,BMW 5 Series 520d,Pune,2005,37165,Diesel,Manual,First,8 kmpl,3424 CC,258.83 bhp,7.0,116.76 Lakh,33.31
330,Mahindra XUV500 W8,Chennai,2007,147652,Diesel,Manual,First,22.25 kmpl,1512 CC,138.53 bhp,5.0,40.96 Lakh,11.08
331,Maruti Alto 800 LXI,Chennai,2003,203694,Diesel,Manual,First,24.75 kmpl,1264 CC,114.23 bhp,5.0,29.89 Lakh,5.87
332,Jaguar XF 2.2 Litre,Kochi,2000,226831,Petrol,Automatic,First,15.82 kmpl,2484 CC,175.08 bhp,5.0,,13.92
333,Mahindra XUV500 W8,Mumbai,2004,231151,Petrol,Automatic,First,20.31 kmpl,1758 CC,165.85 bhp,5.0,49.08 Lakh,10.16
334,Maruti Ertiga VDI,Coimbatore,2015,45278,Diesel,Manual,First,26.01 kmpl,1218 CC,88.0 bhp,5.0,,17.79
335,Ford Figo Titanium,Kolkata,2009,123070,Diesel,Manual,First,26.06 kmpl,1234 CC,119.38 bhp,5.0,38.36 Lakh,11.61
336,Renault Triber RXZ,Hyderabad,2012,118903,Petrol,Manual,Second,27.84 kmpl,937 CC,69.88 bhp,7.0,25.3 Lakh,9.35
337,Hyundai Grand i10 Sportz,Bangalore,2017,18568,Diesel,Manual,Second,24.89 kmpl,1295 CC,96.78 bhp,5.0,,26.43
338,Nissan Micra XV,Kolkata,2010,90399,Petrol,Manual,Second,24.93 kmpl,1694 CC,130.62 bhp,7.0,,15.62
339,Volkswagen Ameo Highline,Kolkata,2015,63879,Petrol,Automatic,Second,17.9 kmpl,2131 CC,173.97 bhp,7.0,61.08 Lakh,34.74
340,Chevrolet Beat LT,Kochi,2008,148703,Petrol,Manual,First,23.02 kmpl,1414 CC,98.02 bhp,5.0,29.49 Lakh,9.31
341,Hyundai Xcent SX,Kolkata,2001,116602,Petrol,Manual,First,24.38 kmpl,1386 CC,100.38 bhp,5.0,,6.2
342,Ford Endeavour Titanium,Hyderabad,1999,164017,Diesel,Automatic,First,20.73 kmpl,1685 CC,119.64 bhp,5.0,,6.57
343,Maruti Baleno Delta,Hyderabad,1998,185700,Petrol,Manual,First,28.75 kmpl,914 CC,76.03 bhp,7.0,22.43 Lakh,2.96
344,Hyundai Xcent SX,Mumbai,2012,92762,Diesel,Manual,First,21.06 kmpl,1650 CC,128.76 bhp,5.0,39.59 Lakh,17.71
345,Ford Endeavour Titanium,Ahmedabad,2007,166403,Diesel,Automatic,First,20.88 kmpl,1648 CC,135.75 bhp,5.0,,11.96
346,Maruti Celerio VXI,Jaipur,2004,341726,Petrol,Automatic,Second,28.47 kmpl,886 CC,62.23 bhp,5.0,20.64 Lakh,3.11
347,Audi A4 2.0 TDI,Ahmedabad,2001,247688,Diesel,Automatic,First,10.86 kmpl,3188 CC,252.34 bhp,5.0,,15.98
348,Hyundai Xcent SX,Coimbatore,2007,115254,Diesel,Manual,First,23.62 kmpl,1317 CC,104.81 bhp,5.0,35.11 Lakh,9.38
349,Tata Hexa XT,Jaipur,2001,84309,Petrol,Manual,First,28.79 kmpl,832 CC,85.95 bhp,5.0,24.17 Lakh,4.15
350,Mahindra XUV500 W8,Delhi,2016,86500,Diesel,Automatic,First,23.23 kmpl,1645 CC,168.45 bhp,5.0,42.9 Lakh,30.81
351,Mahindra KUV100 K8,Bangalore,2001,248791,Diesel,Manual,First,21.97 kmpl,1778 CC,176.7 bhp,7.0,48.51 Lakh,6.22
352,Tata Safari Storme VX,Kochi,2010,109357,Diesel,Manual,First,28.66 kmpl,883 CC,95.71 bhp,5.0,,9.02
353,Mercedes-Benz C-Class C 220 CDI,Ahmedabad,2009,85550,Petrol,Automatic,First,13.19 kmpl,2757 CC,243.99 bhp,4.0,111.48 Lakh,41.1
354,Land Rover Discovery Sport HSE,Coimbatore,1999,94807,Petrol,Manual,First,14.5 kmpl,2514 CC,235.76 bhp,5.0,109.37 Lakh,14.97
355,Mahindra Scorpio S10,Kochi,2012,34743,Diesel,Manual,First,22.21 kmpl,1744 CC,166.31 bhp,7.0,,19.66
356,Maruti Wagon R LXI CNG,Jaipur,2019,9119,Petrol,Manual,First,28.74 kmpl,883 CC,59.67 bhp,5.0,22.25 Lakh,20.68
357,Maruti Ciaz ZXI,Pune,2012,127938,Petrol,Manual,Second,24.91 kmpl,1178 CC,83.64 bhp,5.0,,9.16
358,Maruti Baleno Delta,Ahmedabad,2001,144981,Petrol,Automatic,Second,27.91 kmpl,1021 CC,83.23 bhp,4.0,,3.51
359,Ford Endeavour Titanium,Bangalore,2000,163704,Petrol,Manual,First,24.82 kmpl,1273 CC,108.03 bhp,5.0,34.55 Lakh,5.48
360,Volkswagen Jetta Highline,Chennai,2006,202482,Petrol,Manual,First,16.4 kmpl,2402 CC,210.97 bhp,5.0,,16.7
361,Tata Tiago XZ,Kolkata,1999,313676,Diesel,Automatic,First,27.28 kmpl,1093 CC,85.71 bhp,5.0,,3.56
362,Toyota Etios VX,Mumbai,2014,43729,Diesel,Automatic,Second,18.95 kmpl,2095 CC,213.72 bhp,5.0,65.64 Lakh,32.01
363,Renault Triber RXZ,Delhi,2019,13113,Petrol,Manual,First,21.8 kmpl,1348 CC,112.13 bhp,4.0,31.24 Lakh,30.18
364,Skoda Yeti Ambition,Delhi,2019,6253,Petrol,Manual,First,22.78 kmpl,1573 CC,157.26 bhp,7.0,54.56 Lakh,46.04
365,Hyundai Elantra SX,Ahmedabad,2004,173855,Petrol,Automatic,First,24.66 kmpl,1456 CC,110.77 bhp,5.0,,8.09
366,BMW 5 Series 520d,Mumbai,2005,203567,Diesel,Automatic,First,12.93 kmpl,2792 CC,266.36 bhp,4.0,111.71 Lakh,26.6
367,Skoda Yeti Ambition,Chennai,2016,46666,Petrol,Automatic,First,23.2 kmpl,1798 CC,140.58 bhp,7.0,,41.95
368,Nissan Terrano XV,Kolkata,2011,128015,Diesel,Manual,First,25.06 kmpl,1358 CC,121.25 bhp,7.0,39.87 Lakh,17.57
